"IDRSSD"	RIAD3123	RIAD4230	RIAD4605	RIAD4635	RIAD4815	RIADB522	
	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	LOSSES CHARGED TO RESERVE	CHG IN ALLOW FOR LN&LS LOSS/ADJUSTMT	BEGIN BALANCE (MOST RECENT) IN ALLL	
97804	1584	45	1	8	0	1546	
97943	827	0	2	7	0	832	
98351	94	100	3	247	0	238	
98360	1677	338	28	521	0	1832	
98454	728	50	0	0	0	678	
98463	1611	123	3	25	0	1510	
98548	544	0	5	0	0	539	
98557	325	39	4	34	0	316	
98641	800	4	24	35	0	807	
98717	2087	0	7	0	0	2080	
99004	489	134	9	141	0	487	
99059	310	15	7	35	0	323	
99143	751	75	20	77	0	733	
99255	295	0	2	0	0	293	
99442	1000	0	1	1	0	1000	
99536	889	32	36	70	0	891	
99853	378	45	46	63	0	350	
99974	650	145	10	263	0	758	
100160	2452	0	34	179	0	2597	
100236	894	66	3	7	0	832	
100357	2462	216	72	159	0	2333	
100553	316	0	1	12	0	327	
100562	11341	1875	61	2265	0	11670	
100843	1514	120	23	45	0	1416	
101019	78748	1000	644	1010	0	78114	
101037	4616	75	147	71	0	4465	
101233	12183	708	168	629	0	11936	
101327	7827	0	216	56	0	7667	
101345	452	57	8	6	0	393	
101439	876	60	41	73	0	848	
101671	1592	102	69	134	0	1555	
101738	1630	1	49	93	0	1673	
101952	422	0	2	28	0	448	
102155	120	17	0	13	0	116	
102230	5756	395	200	322	0	5483	
102333	130	0	0	0	0	130	
