RCFD3561,RCFD3562,RCFD7701,RCFD7702,IDRSSD,RCON9999
,,,,139544,2003-12-31
,,,,139553,2003-12-31
,,,,139656,2003-12-31
,,,,139740,2003-12-31
,,,,139834,2003-12-31
,,,,139843,2003-12-31
,,,,139852,2003-12-31
,,,,139955,2003-12-31
,,,,140018,2003-12-31
,,,,140157,2003-12-31
,,,,140362,2003-12-31
,,,,140634,2003-12-31
,,,,141211,2003-12-31
,,,,141341,2003-12-31
,,,,141350,2003-12-31
,,,,141453,2003-12-31
,,,,141556,2003-12-31
,,,,141734,2003-12-31
,,,,141958,2003-12-31
,,,,142049,2003-12-31
,,,,142656,2003-12-31
,,,,142955,2003-12-31
,,,,143000,2003-12-31
,,,,143158,2003-12-31
,,,,143653,2003-12-31
,,,,143662,2003-12-31
,,,,143859,2003-12-31
,,,,143952,2003-12-31
,,,,144034,2003-12-31
,,,,144043,2003-12-31
,,,,144052,2003-12-31
,,,,144155,2003-12-31
,,,,144436,2003-12-31
,,,,144856,2003-12-31
,,,,144913,2003-12-31
,,,,144968,2003-12-31
,,,,145059,2003-12-31
,,,,145545,2003-12-31
,,,,145554,2003-12-31
,,,,145741,2003-12-31
,,,,145750,2003-12-31
,,,,145844,2003-12-31
,,,,145956,2003-12-31
,,,,146056,2003-12-31
,,,,146243,2003-12-31
,,,,146458,2003-12-31
,,,,146533,2003-12-31
,,,,146618,2003-12-31
,,,,146654,2003-12-31
,,,,146663,2003-12-31
,,,,146850,2003-12-31
,,,,147053,2003-12-31
,,,,147633,2003-12-31
,,,,147651,2003-12-31
,,,,147679,2003-12-31
